"annotation_id","annotator","created_at","favorite_count","followers_count","following_count","full_text","hashtags","id","is_blue_verified","is_news","is_political","is_quote","lang","lead_time","link","overall_sentiment","party_list","place","possibly_sensitive","quote_count","reply_count","retweet_count","sarcasm_check","screen_name","stance_admk","stance_bjp","stance_congress","stance_dmk","stance_ntk","stance_tvk","total_tweets_by_user","tweet_id","updated_at","urls","user_desc","user_id","user_location","user_name","user_verified","view_count"
11,"6","2026-01-20T14:22:59.630701Z",702,1007659,883,"திருப்பூர் மாவட்டம் இடுவாய் கிராமத்தில், பொதுமக்கள் விருப்பத்திற்கு எதிராக குப்பைக்கிடங்கு அமைக்கும் பணியை நிறுத்தக் கோரி, பொதுமக்களோடு இணைந்து ஆர்ப்பாட்டம் நடத்த, திமுக அரசு அனுமதி மறுத்ததோடு மட்டுமல்லாமல், @BJP4Tamilnadu திருப்பூர் வடக்கு மாவட்டத் தலைவர் திரு @Kcmb_srinivasan மற்றும் நான் உட்பட பாஜக தொண்டர்களைக் கைது செய்திருக்கிறது காவல்துறை.

நாட்டிலேயே, தூய்மையான பெருநகரங்களில், சென்னை, மதுரை, கோவை மற்றும் சிறு நகரங்களில் ஈரோடு, திருப்பூர் உள்ளிட்டவை கடைசி இடங்களில் இருக்கின்றன. கமிஷன் வாங்குவதற்காக மட்டுமே, திருப்பூர் மாநகரத்தையே குப்பைக்கிடங்காக்கி வைத்திருக்கிறது திருப்பூர் மாநகராட்சி. திருப்பூர் மாநகர திமுக மேயர், இதற்காக மட்டுமே பதவியில் இருக்கிறார். 

பொதுமக்கள் எத்தனை போராட்டம் நடத்தினாலும், திருப்பூருக்கான நிரந்தரத் தீர்வு, தேர்தலில் மக்கள் அளிக்கப் போகும் வாக்குகள்தான். வரும் தேர்தலில், இந்த மக்கள் விரோத திமுக அரசை வீட்டுக்கு அனுப்ப வேண்டும்.

ஜனநாயக முறைப்படி, இடுவாய் கிராம பொதுமக்கள் பிரச்சினைக்காகக் குரல் கொடுக்க அனுமதி தர மறுத்து, எங்களைக் கைது செய்து அடக்குமுறையைக் கையாளும் திமுக அரசும், காவல்துறையும், நாளை முதல் வேறு வேறு வடிவங்களில் பொதுமக்களின் போராட்டத்தைச் சந்திப்பார்கள் என்பதைக் கூறிக் கொள்கிறேன். 

திமுக அரசின் ஒடுக்குமுறைக்கும் கைது நடவடிக்கைகளுக்கும் என்றும் அஞ்சோம். இடுவாய் மக்களின் குரலாக எங்கள் குரல் என்றும் ஒலிக்கும். (1/2)","[]",1,True,"No","Yes",False,"ta",282.58,"<a href=""https://x.com/twitter/status/2001628639356711363"" target=""_blank"">Tweet Link</a>","Neutral","{""choices"":[""DMK"",""BJP""]}","",False,3,22,331,"No","annamalai_k","","Pro-party","","Anti-party","","",18062,2001628639356711363,"2026-01-20T14:22:59.630727Z","[]","அறம் செய்ய விரும்பு. BJP Karyakartha.",61121030,"India","K.Annamalai",False,5588
12,"6","2026-01-20T14:25:20.509030Z",60378,5519898,1,"Thank you Erode 🙏🏻 <a href=""https://t.co/897ADrZtA4"">https://t.co/897ADrZtA4</a>","[]",2,True,"No","Yes",False,"en",139.1,"<a href=""https://x.com/twitter/status/2001562955176120490"" target=""_blank"">Tweet Link</a>","Positive","TVK","",False,1051,2188,20139,"No","actorvijay","","","","","","Pro-party",433,2001562955176120490,"2026-01-20T14:25:20.509051Z","[]","Official Page handled by Office of Actor Vijay",1156338067,"","Vijay",False,832866
13,"6","2026-01-20T14:27:36.024833Z",1248,35077,244,"நடிகனுக்கு ஜால்ரா அடித்து வாங்கும் பதவி என் மயிருக்கு சமம்...
@annamalai_k
 தர்மம் காக்க...
 அதர்மம் அழிக்க...
@hindumunnani_tn @elangovan_HM @BJP4TamilNadu @amarprasadreddy <a href=""https://t.co/nWT9jpTFFO"">https://t.co/nWT9jpTFFO</a>","[]",3,True,"No","Yes",False,"ta",133.586,"<a href=""https://x.com/twitter/status/2001507639835132078"" target=""_blank"">Tweet Link</a>","Negative","{""choices"":[""TVK"",""BJP""]}","",False,9,58,286,"Yes","kannan_kanal","","Pro-party","","","","Anti-party",1852,2001507639835132078,"2026-01-20T14:27:36.024855Z","[]","Action Director, Actor & State President-Art and Literature Division , Hindu Munnani, Tamilnadu.",1166196738,"Chennai, India","Kanal V Kannan",False,10958
104,"3","2026-01-23T07:51:50.589081Z",3083,4000735,91,"Hon'ble PM Thiru. @NarendraModi, Tamil Nadu is the backbone of India’s export economy. Punitive US tariffs are hitting this bedrock hard, disrupting production, orders and livelihoods across our industrial regions.

Urging immediate bilateral resolution to protect Tamil Nadu’s exporters and India’s global manufacturing strength.","[]",4,True,"No","Yes",False,"en",338.777,"<a href=""https://x.com/twitter/status/2001464934690099643"" target=""_blank"">Tweet Link</a>","Negative","BJP","",False,260,327,2198,"No","mkstalin","","Anti-party","","","","",11099,2001464934690099643,"2026-01-23T07:51:50.589115Z","[]","Chief Minister of Tamil Nadu | President of the DMK | Belongs to the Dravidian stock",2163039523,"","M.K.Stalin - தமிழ்நாட்டை தலைகுனிய விடமாட்டேன்",False,71916
15,"6","2026-01-20T14:32:44.022103Z",1074,1993,2016,"நாம் தமிழர் பிள்ளைகள் சேலம் மாவட்டம் தரமான சம்பவம் 💥💥
 இது தற்குறி கூட்டம் அல்ல இது தத்துவ கூட்டம் <a href=""https://t.co/6OuUXMn24Z"">https://t.co/6OuUXMn24Z</a>","[]",5,True,"No","Yes",False,"ta",148.176,"<a href=""https://x.com/twitter/status/2001547505054761159"" target=""_blank"">Tweet Link</a>","Neutral","NTK","",False,7,13,415,"Yes","murugan86489868","","","","","Pro-party","",12502,2001547505054761159,"2026-01-20T14:32:44.022125Z","[]","private",1105332988223471616,"chennai ","ஆறுமுகம்",False,7179
16,"6","2026-01-20T14:36:27.078143Z",11808,623279,1,"என் நெஞ்சில் குடியிருக்கும் உங்கள் அனைவருக்கும் என் அன்பான வணக்கம்.

எப்போதும், என் வாழ்வின் ஒவ்வொரு நிலையிலும் நீங்கள் உடன் வருகிறீர்கள். நீங்கள் காட்டும் எல்லையில்லா அன்பினாலும் ஆதரவினாலும் பெரும் உத்வேகம் அடைந்து வருகிறேன். இந்த உத்வேகமே எனக்கு எப்போதும் மிகப் பெரிய உந்துசக்தியாக இருக்கிறது. எத்தனை அரசியல் கட்சிகள், எத்தனை ஆண்டுக்காலம் நம்மை ஆண்டாலும், வறுமையின் பிடியில் சிக்கியுள்ள என் அன்புக்கு உரியவர்களாகிய உங்களுக்கு ஒரு விடிவு காலம் கண்டிப்பாக வரவேண்டும். ஏக்கத்திலேயே, கனவுகளிலேயே காலங்கள் கடந்து போய்விடக் கூடாது. எனவே தான், வளர்த்து ஆளாக்கிய உங்களோடு இணைந்து உங்களுக்காக உழைக்கவே நாம் நம் அரசியல் பயணத்தைத் தொடங்கினோம்.

அந்தப் பயணத்தில், உங்களைச் சந்திப்பதற்கு நாம் புறப்பட்டதில் இருந்தே எவ்வளவோ தடைகள் தொடர்ந்து நமக்கு வந்தவண்ணம் இருந்தன. அவற்றில் உங்களுக்குத் தெரிந்தவை பல. உங்களுக்குத் தெரியாதவை பல. ஆனால், அவற்றையெல்லாம் உங்களின் பேராதரவு மற்றும் தூய அன்பின் துணையோடு முறியடித்து வெற்றி அடைந்து வருகிறோம். உங்களுடனான சந்திப்பைத் தொடர்ந்து நிகழ்த்தி வருகிறோம்.

அந்த வகையில் இன்று மஞ்சள் மாநகரான ஈரோட்டில் நடைபெற்ற நமது சந்திப்பானது, வாழ்நாளில் இதுவரை இல்லாத வகையில் மிகுந்த மகிழ்ச்சியையும் நெகிழ்ச்சியையும் ஏற்படுத்தியது. இந்தச் சந்திப்பில், அளப்பரிய அன்பும் ஆதரவும் அளித்த, என் நெஞ்சில் குடியிருக்கும் உங்கள் அனைவருக்கும் எவ்வளவு நன்றி சொன்னாலும் போதாது.

இந்த நெகிழ்ச்சிமிகு சந்திப்பை, மிகப் பிரம்மாண்டமாகவும் மிகுந்த பாதுகாப்புடனும் மெச்சத் தகுந்த வகையிலும் ஏற்பாடு செய்திருந்த நம் கழகத்தின் நிர்வாகக் குழு ஒருங்கிணைப்பாளர் அண்ணன் திரு. கே.ஏ.செங்கோட்டையன் அவர்களுக்கும், அவருக்கு உறுதுணையாக இருந்த நம் கழகப் பொதுச் செயலாளர் திரு. ஆனந்த் அவர்களுக்கும், மாநில நிர்வாகிகளுக்கும், ஈரோடு மாநகர் மாவட்டக் கழகச் செயலாளர் திரு. M.பாலாஜி <a href=""https://t.co/WA5qee6wqi,"">https://t.co/WA5qee6wqi,</a> ஈரோடு கிழக்கு மாவட்டக் கழகச் செயலாளர் திரு. M.வெங்கடேஷ் B.E., MBA, ஈரோடு மேற்கு மாவட்டக் கழகச் செயலாளர் திரு. A.பிரதீப்குமார் DCE ஆகியோருக்கும் கழகத்தின் அனைத்து நிர்வாகிகளுக்கும், தன்னார்வலர்களுக்கும் போக்குவரத்து மற்றும் பாதுகாப்பு உள்ளிட்டவற்றைச் சிறப்பாக ஏற்பாடு செய்திருந்த காவல் துறைக்கும் எனது மனமார்ந்த நன்றியினைத் தெரிவித்துக்கொள்கிறேன்.

மீண்டும் சந்திப்போம்!
வெற்றி நிச்சயம்!","[]",6,True,"No","Yes",False,"ta",221.621,"<a href=""https://x.com/twitter/status/2001617217671327792"" target=""_blank"">Tweet Link</a>","Positive","TVK","","",109,420,4456,"No","TVKVijayHQ","","","","","","Pro-party",237,2001617217671327792,"2026-01-20T14:36:27.078170Z","['http://B.Com']","தலைவர், தமிழக வெற்றிக் கழகம்  - த.வெ.க |
President, Tamilaga Vettri Kazhagam - TVK",1752702274466680832,"Tamilnadu","TVK Vijay",False,142875
17,"6","2026-01-20T14:38:03.228651Z",1311,6880,183,"Someone is crying a lot today😅 <a href=""https://t.co/DLXWGuJA0t"">https://t.co/DLXWGuJA0t</a>","[]",7,True,"No","Yes",False,"en",94.654,"<a href=""https://x.com/twitter/status/2001564672009621732"" target=""_blank"">Tweet Link</a>","Neutral","{""choices"":[""DMK"",""TVK""]}","",False,52,66,386,"Yes","dmk_studentwing","","","","Pro-party","","Anti-party",5788,2001564672009621732,"2026-01-20T14:38:03.228678Z","[]","Official Page of DMK Student Wing | தி.மு.க மாணவர் அணி | #DravidianStock | #SocialJustice",1290622571910590466,"Anna Arivalayam","DMK Student Wing",False,38649
18,"6","2026-01-20T14:46:13.693045Z",312,159570,40,"ஏழை எளிய மாணவர்களுக்கும் விஞ்ஞானபூர்வ கல்வி கிடைக்க புரட்சித்தலைவி அம்மா அவர்களால் கொண்டுவரப்பட்ட விலையில்லா மடிக்கணினி வழங்கும் திட்டத்தை,

கடந்த நான்கு ஆண்டுகாலமாக விடியா திமுக அரசு நிறுத்தியுள்ளது.
தேர்தல் நெருங்குவதால் கல்லூரி மாணவர்களுக்கு மட்டும் லேப்டாப் தருவதாக தற்போது அறிவித்துள்ளனர்.

நிச்சயமாக, மீண்டும் அஇஅதிமுக ஆட்சி மலர்ந்ததும் மாணவர்களுக்கு லேப்டாப் வழங்கும் திட்டம் தொடரும்.

மாண்புமிகு கழகப் பொதுச் செயலாளர் புரட்சித் தமிழர் @EPSTamilNadu அவர்கள்

#EPSfor2026
#WhereIsOurLaptop","['EPSfor2026', 'WhereIsOurLaptop']",8,True,"No","Yes",False,"ta",68.158,"<a href=""https://x.com/twitter/status/2001493875828101184"" target=""_blank"">Tweet Link</a>","Negative","{""choices"":[""DMK"",""ADMK""]}","",False,17,46,203,"No","AIADMKITWINGOFL","Pro-party","","","Anti-party","","",22220,2001493875828101184,"2026-01-20T14:46:13.693072Z","[]","Official Twitter page of AIADMK IT Wing. News and updates from AIADMK.",923849866861715456,"Chennai, India","AIADMK IT WING - SayYesToWomenSafety&AIADMK",False,2724
19,"6","2026-01-20T14:46:39.663306Z",2868,6008004,99,"Vijay thanks people of Tamil Nadu in mega Erode rally
#Vijay #TamilNadu #Erode #News <a href=""https://t.co/biI7Qnfbow"">https://t.co/biI7Qnfbow</a>","['Vijay', 'TamilNadu', 'Erode', 'News']",9,True,"Yes","No",False,"en",24.108,"<a href=""https://x.com/twitter/status/2001557918521659855"" target=""_blank"">Tweet Link</a>","","","",False,3,14,970,"","IndiaToday","","","","","","",1430800,2001557918521659855,"2026-01-20T14:46:39.663327Z","[]","Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. https://t.co/4QkZBcgPH5| https://t.co/pmDGIBbj9z",19897138,"India","IndiaToday",False,23698
20,"6","2026-01-20T14:47:26.605694Z",576,159570,40,"மாண்புமிகு கழகப் பொதுச்செயலாளர் புரட்சித்தமிழர் @EPSTamilNadu அவர்களின் ஆணைக்கிணங்க ,

11,12 ஆம் வகுப்பு மாணவர்களுக்கும்,
விடுபட்ட அனைத்து கல்லூரி மாணவர்களுக்கும் 
 மடிக்கணினி வழங்கக்கோரி @admkstudentwing  சார்பில் மாபெரும் கண்டன ஆர்பாட்டம் இன்று நடைபெற்றது.

#WhereIsOurLaptop <a href=""https://t.co/4E1hYDqDfn"">https://t.co/4E1hYDqDfn</a>","['WhereIsOurLaptop']",10,True,"No","Yes",False,"ta",45.58,"<a href=""https://x.com/twitter/status/2001334929561653302"" target=""_blank"">Tweet Link</a>","Negative","{""choices"":[""DMK"",""ADMK""]}","",False,25,33,352,"No","AIADMKITWINGOFL","Pro-party","","","Anti-party","","",22220,2001334929561653302,"2026-01-20T14:47:26.605723Z","[]","Official Twitter page of AIADMK IT Wing. News and updates from AIADMK.",923849866861715456,"Chennai, India","AIADMK IT WING - SayYesToWomenSafety&AIADMK",False,3166
