tweet_id,created_at,full_text,lang,is_quote,possibly_sensitive,retweet_count,favorite_count,reply_count,quote_count,view_count,user_id,user_name,screen_name,user_desc,user_location,user_verified,is_blue_verified,followers_count,following_count,total_tweets_by_user,hashtags,urls,place
2001640591948681340,Thu Dec 18 13:08:00 +0000 2025,"The swag, the rhythm and the effortless grace of Thalapathy Vijay 🕺🏽 

#OruPereVaralaaru 

https://t.co/I9paVefjPh",en,False,False,212,465,2,0,1417,730088562,Vijay Fans Trends,VijayFansTrends,"The Official Trends Page for Thalapathy @actorvijay - @tvkvijayhq , Backup Account @VijayTrendsPage",India,False,True,494586,2,93657,['OruPereVaralaaru'],[],N/A
2001640560285929810,Thu Dec 18 13:07:52 +0000 2025,"#Erode_Welcomes_Thalapathy 

கொங்கு மண்டலத்தில் இன்று மக்கள் சந்திப்பு நிகழ்ச்சியில் தலைவர் தளபதி அவர்களின் எழுச்சி உரை !

#தமிழகவெற்றிக்கழகம் 
#tamilagavettrikazhagam
| #Erode| #tvk | #TVKCampaign | #Perundurai |#vijaythalapathy #Meeting | #TVKMeeting | #TVKForTN2026 | 🇪🇦 https://t.co/BJpOJbrAkp",ta,False,False,57,128,4,0,381,4000947339,V Sathyabama,V_SathyaBama,Ex Member Of Parliament | 16th Lok Sabha | Tiruppur | Tamil Nadu | TVK | TVKForTN2026 | தமிழக வெற்றிக் கழகம் |,"Tamil Nadu, Tiruppur",False,False,28063,47,4175,"['Erode_Welcomes_Thalapathy', 'தமிழகவெற்றிக்கழகம்', 'tamilagavettrikazhagam', 'Erode', 'tvk', 'TVKCampaign', 'Perundurai', 'vijaythalapathy', 'Meeting', 'TVKMeeting', 'TVKForTN2026']",[],N/A
2001638999186940158,Thu Dec 18 13:01:40 +0000 2025,"#OruPereVaralaaru Lyric Video 
▶️ https://t.co/VHJ2uEtsYc https://t.co/lbGKI0RIp3",en,False,False,47,109,0,1,932,132267828,Actor Vijay Fans,Actor_Vijay,Fan page of @actorvijay | #ThalapathyVijay | #Thalapathy69 | #JanaNayagan | #TVKVijay | #தமிழகவெற்றிக்கழகம் | @tvkvijayhq,"Chennai, India",False,True,1082843,10,38608,['OruPereVaralaaru'],['http://youtu.be/ip8o5hDFLhI'],N/A
2001637130389643356,Thu Dec 18 12:54:15 +0000 2025,இடுவாய் மக்களின் உரிமை காக்கும் எல்லைச்சாமி ❣️ https://t.co/wrhNtd0CV0,ta,False,False,21,69,0,0,370,1260082355924074496,Army of Dheeran Annamalai,annamalai_chap2,"தீரன் அண்ணாமலை தோழர் படை Chapter 1 - SP, DCP, Karnataka Singham Chapter 2 - Social Worker Tamil Nadu","Tamil Nadu, India",False,True,106574,1,58564,[],[],N/A
2001634856430899652,Thu Dec 18 12:45:13 +0000 2025,"Bro still using old Gimmicks to try and make people dislike Vijay with  fake narratives &amp; morphed pics 😃

https://t.co/T6MySy6B13",en,True,False,36,71,2,1,1574,1384732692437102597,Let's X OTT GLOBAL,LetsXOtt,"Official account of @LetsXOtt Reviews , Exclusive Updates  & Box Office Numbers.",Worldwide,False,True,254282,226,19204,[],[],N/A
2001634530734780808,Thu Dec 18 12:43:55 +0000 2025,"வென்றே தீருவோம்.✊🏼🔥

#JusticeForIduvai | #Annamalai https://t.co/yhnLEcvs9Y",ta,False,False,37,118,1,1,1440,1885955664540729344,ᴋᴀʀᴛʜɪ,TwitzKarthi,Modi’s Vision & Annamalai’s Mission | Anti DMK | Views are Personal.,🇮🇳,False,True,3985,195,4625,"['JusticeForIduvai', 'Annamalai']",[],N/A
2001633352940712421,Thu Dec 18 12:39:14 +0000 2025,"How many Vijay fans ONLINE? 👀 

Hit the RETWEET button and mark your attendance. 

#OruPereVaralaaru #JanaNayagan 

 https://t.co/TFiNmRXH0v",en,False,False,207,485,0,0,5439,837957053083611136,Actor Vijay Team,ActorVijayTeam,"Actor Vijay Team Providing Latest News, Information And Pictures. Connecting Thalapathy Vijay Fans Everywhere With Love! Upcoming Film: #JanaNayagan","Kentucky, USA",False,True,91586,43,25712,"['OruPereVaralaaru', 'JanaNayagan']",[],N/A
2001632923406209189,Thu Dec 18 12:37:32 +0000 2025,Fascist mindset of  the DMK government at full display . Arresting Annan @annamalai_k avl for standing with the people of Tirupur shows their intolerance. Strongly condemn this action.,en,True,,26,104,1,0,895,1200257327338680321,karthik gopinath,karthikgnath,"BJP Thondan/karyakarta, founder Ilaya Bharatham.","Chennai, India",False,True,124158,3537,18589,[],[],N/A
2001631703081828610,Thu Dec 18 12:32:41 +0000 2025,"அதிகாரத்தை கொண்டு இடுவாய் மக்களை முடக்கினால், அதை உடைக்க ஆளுமை கொண்ட ஒருவன் வருவான். 🔥

#Annamalai #Iduvai https://t.co/jAvLnl54Jl",ta,False,False,81,190,0,2,1682,2173591035,Bagavath Pratheep,Bagavathprathee,Politics | Tamil | Observer | Tweets & RT Strictly Personal 🙏🏻,நாஞ்சில் நாடு,False,True,8955,383,28548,"['Annamalai', 'Iduvai']",[],N/A
2001628639356711363,Thu Dec 18 12:20:30 +0000 2025,"திருப்பூர் மாவட்டம் இடுவாய் கிராமத்தில், பொதுமக்கள் விருப்பத்திற்கு எதிராக குப்பைக்கிடங்கு அமைக்கும் பணியை நிறுத்தக் கோரி, பொதுமக்களோடு இணைந்து ஆர்ப்பாட்டம் நடத்த, திமுக அரசு அனுமதி மறுத்ததோடு மட்டுமல்லாமல், @BJP4Tamilnadu திருப்பூர் வடக்கு மாவட்டத் தலைவர் திரு @Kcmb_srinivasan மற்றும் நான் உட்பட பாஜக தொண்டர்களைக் கைது செய்திருக்கிறது காவல்துறை.

நாட்டிலேயே, தூய்மையான பெருநகரங்களில், சென்னை, மதுரை, கோவை மற்றும் சிறு நகரங்களில் ஈரோடு, திருப்பூர் உள்ளிட்டவை கடைசி இடங்களில் இருக்கின்றன. கமிஷன் வாங்குவதற்காக மட்டுமே, திருப்பூர் மாநகரத்தையே குப்பைக்கிடங்காக்கி வைத்திருக்கிறது திருப்பூர் மாநகராட்சி. திருப்பூர் மாநகர திமுக மேயர், இதற்காக மட்டுமே பதவியில் இருக்கிறார். 

பொதுமக்கள் எத்தனை போராட்டம் நடத்தினாலும், திருப்பூருக்கான நிரந்தரத் தீர்வு, தேர்தலில் மக்கள் அளிக்கப் போகும் வாக்குகள்தான். வரும் தேர்தலில், இந்த மக்கள் விரோத திமுக அரசை வீட்டுக்கு அனுப்ப வேண்டும்.

ஜனநாயக முறைப்படி, இடுவாய் கிராம பொதுமக்கள் பிரச்சினைக்காகக் குரல் கொடுக்க அனுமதி தர மறுத்து, எங்களைக் கைது செய்து அடக்குமுறையைக் கையாளும் திமுக அரசும், காவல்துறையும், நாளை முதல் வேறு வேறு வடிவங்களில் பொதுமக்களின் போராட்டத்தைச் சந்திப்பார்கள் என்பதைக் கூறிக் கொள்கிறேன். 

திமுக அரசின் ஒடுக்குமுறைக்கும் கைது நடவடிக்கைகளுக்கும் என்றும் அஞ்சோம். இடுவாய் மக்களின் குரலாக எங்கள் குரல் என்றும் ஒலிக்கும். (1/2)",ta,False,False,342,725,23,3,5944,61121030,K.Annamalai,annamalai_k,அறம் செய்ய விரும்பு. BJP Karyakartha.,India,False,True,1007659,883,18062,[],[],N/A
2001628264562073682,Thu Dec 18 12:19:01 +0000 2025,"Director Vijay Kartikeyaa says that Kiccha Sudeep is a very special star.

 Most famous actors want to be the only important person in a movie, but Sudeep is different. In his new movie Mark, he is happy to work with many other talented actors and several different villains at the same time. This shows he cares more about making the story better than just being the only person on screen.

#MarkTheFilm  @KicchaSudeep",en,False,False,30,88,3,1,2491,1384732692437102597,Let's X OTT GLOBAL,LetsXOtt,"Official account of @LetsXOtt Reviews , Exclusive Updates  & Box Office Numbers.",Worldwide,False,True,254282,226,19204,['MarkTheFilm'],[],N/A
2001627942527582552,Thu Dec 18 12:17:44 +0000 2025,"திருப்பூர் மாநகரில் சேரும் குப்பையை இடுவாய், சின்னகாளிபாளையம் கிராமத்தில் கொட்ட ஐந்து கிராமங்களை சேர்ந்த மக்கள் எதிர்ப்பு தெரிவித்து வரும் நிலையில், அந்த மக்களுக்கு ஆதரவாக போராட்டத்தில் ஈடுபட்ட நமது முன்னாள் மாநிலத் தலைவர் திரு. @annamalai_k அவர்களை கைது செய்துள்ள ஸ்டாலின் அரசின் செயல் வன்மையாக கண்டிக்கத்தக்கது..!",ta,False,False,72,149,2,0,1145,396707695,BJP Tamilnadu,BJP4TamilNadu,Official Twitter Account of Tamil Nadu Unit of Bharathiya Janata Party. தமிழ்நாடு பாரதிய ஜனதா கட்சியின் அதிகாரப்பூர்வ ட்விட்டர் கணக்கு.,"Tamil Nadu, India",False,True,630963,53,55395,[],[],N/A
2001627377856885053,Thu Dec 18 12:15:29 +0000 2025,"The incompetent DMK Government has arrested Thiru @annamalai_k avl for protesting against the decision to dump garbage in Iduvai.

First, they turn people’s land into a garbage yard. Now, they arrest those who raise their voice against this insensitive and unjust decision.

Is this the Dravidian Model of governance @mkstalin?",en,False,False,30,78,1,0,808,2167816332,APR,amarprasadreddy,"State Secretary TN BJP | Ex Advisor, MOH&FW, Govt. of India | Fr. Chairman, Special Olympics Int. Football Championship & TN Paralympics | Cyber Security | AI",India,False,True,157234,4377,58735,[],[],N/A
