tweet_text,Party,is_mentioned
"திருப்பூர் மாவட்டம் இடுவாய் கிராமத்தில் , பொதுமக்கள் விருப்பத்திற்கு எதிராக குப்பைக்கிடங்கு அமைக்கும் பணியை நிறுத்தக் கோரி , பொதுமக்களோடு இணைந்து ஆர்ப்பாட்டம் நடத்த , திமுக அரசு அனுமதி மறுத்ததோடு மட்டுமல்லாமல் , @ bjp4tamilnadu திருப்பூர் வடக்கு மாவட்டத் தலைவர் திரு @ kcmb_srinivasan மற்றும் நான் உட்பட பாஜக தொண்டர்களைக் கைது செய்திருக்கிறது காவல்துறை . நாட்டிலேயே , தூய்மையான பெருநகரங்களில் , சென்னை , மதுரை , கோவை மற்றும் சிறு நகரங்களில் ஈரோடு , திருப்பூர் உள்ளிட்டவை கடைசி இடங்களில் இருக்கின்றன . கமிஷன் வாங்குவதற்காக மட்டுமே , திருப்பூர் மாநகரத்தையே குப்பைக்கிடங்காக்கி வைத்திருக்கிறது திருப்பூர் மாநகராட்சி . திருப்பூர் மாநகர திமுக மேயர் , இதற்காக மட்டுமே பதவியில் இருக்கிறார் . பொதுமக்கள் எத்தனை போராட்டம் நடத்தினாலும் , திருப்பூருக்கான நிரந்தரத் தீர்வு , தேர்தலில் மக்கள் அளிக்கப் போகும் வாக்குகள்தான் . வரும் தேர்தலில் , இந்த மக்கள் விரோத திமுக அரசை வீட்டுக்கு அனுப்ப வேண்டும் . ஜனநாயக முறைப்படி , இடுவாய் கிராம பொதுமக்கள் பிரச்சினைக்காகக் குரல் கொடுக்க அனுமதி தர மறுத்து , எங்களைக் கைது செய்து அடக்குமுறையைக் கையாளும் திமுக அரசும் , காவல்துறையும் , நாளை முதல் வேறு வேறு வடிவங்களில் பொதுமக்களின் போராட்டத்தைச் சந்திப்பார்கள் என்பதைக் கூறிக் கொள்கிறேன் . திமுக அரசின் ஒடுக்குமுறைக்கும் கைது நடவடிக்கைகளுக்கும் என்றும் அஞ்சோம் . இடுவாய் மக்களின் குரலாக எங்கள் குரல் என்றும் ஒலிக்கும் . ( 1/2 )",ADMK,0
"திருப்பூர் மாவட்டம் இடுவாய் கிராமத்தில் , பொதுமக்கள் விருப்பத்திற்கு எதிராக குப்பைக்கிடங்கு அமைக்கும் பணியை நிறுத்தக் கோரி , பொதுமக்களோடு இணைந்து ஆர்ப்பாட்டம் நடத்த , திமுக அரசு அனுமதி மறுத்ததோடு மட்டுமல்லாமல் , @ bjp4tamilnadu திருப்பூர் வடக்கு மாவட்டத் தலைவர் திரு @ kcmb_srinivasan மற்றும் நான் உட்பட பாஜக தொண்டர்களைக் கைது செய்திருக்கிறது காவல்துறை . நாட்டிலேயே , தூய்மையான பெருநகரங்களில் , சென்னை , மதுரை , கோவை மற்றும் சிறு நகரங்களில் ஈரோடு , திருப்பூர் உள்ளிட்டவை கடைசி இடங்களில் இருக்கின்றன . கமிஷன் வாங்குவதற்காக மட்டுமே , திருப்பூர் மாநகரத்தையே குப்பைக்கிடங்காக்கி வைத்திருக்கிறது திருப்பூர் மாநகராட்சி . திருப்பூர் மாநகர திமுக மேயர் , இதற்காக மட்டுமே பதவியில் இருக்கிறார் . பொதுமக்கள் எத்தனை போராட்டம் நடத்தினாலும் , திருப்பூருக்கான நிரந்தரத் தீர்வு , தேர்தலில் மக்கள் அளிக்கப் போகும் வாக்குகள்தான் . வரும் தேர்தலில் , இந்த மக்கள் விரோத திமுக அரசை வீட்டுக்கு அனுப்ப வேண்டும் . ஜனநாயக முறைப்படி , இடுவாய் கிராம பொதுமக்கள் பிரச்சினைக்காகக் குரல் கொடுக்க அனுமதி தர மறுத்து , எங்களைக் கைது செய்து அடக்குமுறையைக் கையாளும் திமுக அரசும் , காவல்துறையும் , நாளை முதல் வேறு வேறு வடிவங்களில் பொதுமக்களின் போராட்டத்தைச் சந்திப்பார்கள் என்பதைக் கூறிக் கொள்கிறேன் . திமுக அரசின் ஒடுக்குமுறைக்கும் கைது நடவடிக்கைகளுக்கும் என்றும் அஞ்சோம் . இடுவாய் மக்களின் குரலாக எங்கள் குரல் என்றும் ஒலிக்கும் . ( 1/2 )",BJP,1
"திருப்பூர் மாவட்டம் இடுவாய் கிராமத்தில் , பொதுமக்கள் விருப்பத்திற்கு எதிராக குப்பைக்கிடங்கு அமைக்கும் பணியை நிறுத்தக் கோரி , பொதுமக்களோடு இணைந்து ஆர்ப்பாட்டம் நடத்த , திமுக அரசு அனுமதி மறுத்ததோடு மட்டுமல்லாமல் , @ bjp4tamilnadu திருப்பூர் வடக்கு மாவட்டத் தலைவர் திரு @ kcmb_srinivasan மற்றும் நான் உட்பட பாஜக தொண்டர்களைக் கைது செய்திருக்கிறது காவல்துறை . நாட்டிலேயே , தூய்மையான பெருநகரங்களில் , சென்னை , மதுரை , கோவை மற்றும் சிறு நகரங்களில் ஈரோடு , திருப்பூர் உள்ளிட்டவை கடைசி இடங்களில் இருக்கின்றன . கமிஷன் வாங்குவதற்காக மட்டுமே , திருப்பூர் மாநகரத்தையே குப்பைக்கிடங்காக்கி வைத்திருக்கிறது திருப்பூர் மாநகராட்சி . திருப்பூர் மாநகர திமுக மேயர் , இதற்காக மட்டுமே பதவியில் இருக்கிறார் . பொதுமக்கள் எத்தனை போராட்டம் நடத்தினாலும் , திருப்பூருக்கான நிரந்தரத் தீர்வு , தேர்தலில் மக்கள் அளிக்கப் போகும் வாக்குகள்தான் . வரும் தேர்தலில் , இந்த மக்கள் விரோத திமுக அரசை வீட்டுக்கு அனுப்ப வேண்டும் . ஜனநாயக முறைப்படி , இடுவாய் கிராம பொதுமக்கள் பிரச்சினைக்காகக் குரல் கொடுக்க அனுமதி தர மறுத்து , எங்களைக் கைது செய்து அடக்குமுறையைக் கையாளும் திமுக அரசும் , காவல்துறையும் , நாளை முதல் வேறு வேறு வடிவங்களில் பொதுமக்களின் போராட்டத்தைச் சந்திப்பார்கள் என்பதைக் கூறிக் கொள்கிறேன் . திமுக அரசின் ஒடுக்குமுறைக்கும் கைது நடவடிக்கைகளுக்கும் என்றும் அஞ்சோம் . இடுவாய் மக்களின் குரலாக எங்கள் குரல் என்றும் ஒலிக்கும் . ( 1/2 )",Congress,0
"திருப்பூர் மாவட்டம் இடுவாய் கிராமத்தில் , பொதுமக்கள் விருப்பத்திற்கு எதிராக குப்பைக்கிடங்கு அமைக்கும் பணியை நிறுத்தக் கோரி , பொதுமக்களோடு இணைந்து ஆர்ப்பாட்டம் நடத்த , திமுக அரசு அனுமதி மறுத்ததோடு மட்டுமல்லாமல் , @ bjp4tamilnadu திருப்பூர் வடக்கு மாவட்டத் தலைவர் திரு @ kcmb_srinivasan மற்றும் நான் உட்பட பாஜக தொண்டர்களைக் கைது செய்திருக்கிறது காவல்துறை . நாட்டிலேயே , தூய்மையான பெருநகரங்களில் , சென்னை , மதுரை , கோவை மற்றும் சிறு நகரங்களில் ஈரோடு , திருப்பூர் உள்ளிட்டவை கடைசி இடங்களில் இருக்கின்றன . கமிஷன் வாங்குவதற்காக மட்டுமே , திருப்பூர் மாநகரத்தையே குப்பைக்கிடங்காக்கி வைத்திருக்கிறது திருப்பூர் மாநகராட்சி . திருப்பூர் மாநகர திமுக மேயர் , இதற்காக மட்டுமே பதவியில் இருக்கிறார் . பொதுமக்கள் எத்தனை போராட்டம் நடத்தினாலும் , திருப்பூருக்கான நிரந்தரத் தீர்வு , தேர்தலில் மக்கள் அளிக்கப் போகும் வாக்குகள்தான் . வரும் தேர்தலில் , இந்த மக்கள் விரோத திமுக அரசை வீட்டுக்கு அனுப்ப வேண்டும் . ஜனநாயக முறைப்படி , இடுவாய் கிராம பொதுமக்கள் பிரச்சினைக்காகக் குரல் கொடுக்க அனுமதி தர மறுத்து , எங்களைக் கைது செய்து அடக்குமுறையைக் கையாளும் திமுக அரசும் , காவல்துறையும் , நாளை முதல் வேறு வேறு வடிவங்களில் பொதுமக்களின் போராட்டத்தைச் சந்திப்பார்கள் என்பதைக் கூறிக் கொள்கிறேன் . திமுக அரசின் ஒடுக்குமுறைக்கும் கைது நடவடிக்கைகளுக்கும் என்றும் அஞ்சோம் . இடுவாய் மக்களின் குரலாக எங்கள் குரல் என்றும் ஒலிக்கும் . ( 1/2 )",DMK,1
"திருப்பூர் மாவட்டம் இடுவாய் கிராமத்தில் , பொதுமக்கள் விருப்பத்திற்கு எதிராக குப்பைக்கிடங்கு அமைக்கும் பணியை நிறுத்தக் கோரி , பொதுமக்களோடு இணைந்து ஆர்ப்பாட்டம் நடத்த , திமுக அரசு அனுமதி மறுத்ததோடு மட்டுமல்லாமல் , @ bjp4tamilnadu திருப்பூர் வடக்கு மாவட்டத் தலைவர் திரு @ kcmb_srinivasan மற்றும் நான் உட்பட பாஜக தொண்டர்களைக் கைது செய்திருக்கிறது காவல்துறை . நாட்டிலேயே , தூய்மையான பெருநகரங்களில் , சென்னை , மதுரை , கோவை மற்றும் சிறு நகரங்களில் ஈரோடு , திருப்பூர் உள்ளிட்டவை கடைசி இடங்களில் இருக்கின்றன . கமிஷன் வாங்குவதற்காக மட்டுமே , திருப்பூர் மாநகரத்தையே குப்பைக்கிடங்காக்கி வைத்திருக்கிறது திருப்பூர் மாநகராட்சி . திருப்பூர் மாநகர திமுக மேயர் , இதற்காக மட்டுமே பதவியில் இருக்கிறார் . பொதுமக்கள் எத்தனை போராட்டம் நடத்தினாலும் , திருப்பூருக்கான நிரந்தரத் தீர்வு , தேர்தலில் மக்கள் அளிக்கப் போகும் வாக்குகள்தான் . வரும் தேர்தலில் , இந்த மக்கள் விரோத திமுக அரசை வீட்டுக்கு அனுப்ப வேண்டும் . ஜனநாயக முறைப்படி , இடுவாய் கிராம பொதுமக்கள் பிரச்சினைக்காகக் குரல் கொடுக்க அனுமதி தர மறுத்து , எங்களைக் கைது செய்து அடக்குமுறையைக் கையாளும் திமுக அரசும் , காவல்துறையும் , நாளை முதல் வேறு வேறு வடிவங்களில் பொதுமக்களின் போராட்டத்தைச் சந்திப்பார்கள் என்பதைக் கூறிக் கொள்கிறேன் . திமுக அரசின் ஒடுக்குமுறைக்கும் கைது நடவடிக்கைகளுக்கும் என்றும் அஞ்சோம் . இடுவாய் மக்களின் குரலாக எங்கள் குரல் என்றும் ஒலிக்கும் . ( 1/2 )",NTK,0
"திருப்பூர் மாவட்டம் இடுவாய் கிராமத்தில் , பொதுமக்கள் விருப்பத்திற்கு எதிராக குப்பைக்கிடங்கு அமைக்கும் பணியை நிறுத்தக் கோரி , பொதுமக்களோடு இணைந்து ஆர்ப்பாட்டம் நடத்த , திமுக அரசு அனுமதி மறுத்ததோடு மட்டுமல்லாமல் , @ bjp4tamilnadu திருப்பூர் வடக்கு மாவட்டத் தலைவர் திரு @ kcmb_srinivasan மற்றும் நான் உட்பட பாஜக தொண்டர்களைக் கைது செய்திருக்கிறது காவல்துறை . நாட்டிலேயே , தூய்மையான பெருநகரங்களில் , சென்னை , மதுரை , கோவை மற்றும் சிறு நகரங்களில் ஈரோடு , திருப்பூர் உள்ளிட்டவை கடைசி இடங்களில் இருக்கின்றன . கமிஷன் வாங்குவதற்காக மட்டுமே , திருப்பூர் மாநகரத்தையே குப்பைக்கிடங்காக்கி வைத்திருக்கிறது திருப்பூர் மாநகராட்சி . திருப்பூர் மாநகர திமுக மேயர் , இதற்காக மட்டுமே பதவியில் இருக்கிறார் . பொதுமக்கள் எத்தனை போராட்டம் நடத்தினாலும் , திருப்பூருக்கான நிரந்தரத் தீர்வு , தேர்தலில் மக்கள் அளிக்கப் போகும் வாக்குகள்தான் . வரும் தேர்தலில் , இந்த மக்கள் விரோத திமுக அரசை வீட்டுக்கு அனுப்ப வேண்டும் . ஜனநாயக முறைப்படி , இடுவாய் கிராம பொதுமக்கள் பிரச்சினைக்காகக் குரல் கொடுக்க அனுமதி தர மறுத்து , எங்களைக் கைது செய்து அடக்குமுறையைக் கையாளும் திமுக அரசும் , காவல்துறையும் , நாளை முதல் வேறு வேறு வடிவங்களில் பொதுமக்களின் போராட்டத்தைச் சந்திப்பார்கள் என்பதைக் கூறிக் கொள்கிறேன் . திமுக அரசின் ஒடுக்குமுறைக்கும் கைது நடவடிக்கைகளுக்கும் என்றும் அஞ்சோம் . இடுவாய் மக்களின் குரலாக எங்கள் குரல் என்றும் ஒலிக்கும் . ( 1/2 )",TVK,0
thank erode : folded_hands_light_skin_tone :,ADMK,0
thank erode : folded_hands_light_skin_tone :,BJP,0
thank erode : folded_hands_light_skin_tone :,Congress,0
thank erode : folded_hands_light_skin_tone :,DMK,0
